<UNK> <UNK>
가	k0 aa
귀여웠다	k0 wi yv wv tf tt aa
그러고도	k0 xx rr vv k0 oo t0 oo
그러다가	k0 xx rr vv t0 aa k0 aa
그런데도	k0 xx rr vv nf t0 ee t0 oo
그리고는	k0 xx rr ii k0 oo nn xx nf
그림자가	k0 xx rr ii mf c0 aa k0 aa
기슭에서	k0 ii s0 xx k0 ee s0 vv
기어가듯	k0 ii vv k0 aa t0 xx tf
꺾어다가	kk vv kk vv t0 aa k0 aa
나타나지	nn aa th aa nn aa c0 ii
날아왔다	nn aa rr aa wa tf tt aa
날일수록	nn aa rr ii ll s0 uu rr oo kf
남천강이	nn aa mf ch vv nf k0 aa ng ii
내려왔다	nn qq rr yv wa tf tt aa
너구리가	nn vv k0 uu rr ii k0 aa
너구리는	nn vv k0 uu rr ii nn xx nf
넘어가면	nn vv mm vv k0 aa mm yv nf
노인들이	nn oo ii nf t0 xx rr ii
놀이터로	nn oo rr ii th vv rr oo
눈망울은	nn uu nf mm aa ng uu rr xx nf
뉘엿뉘엿	nn wi yv nf nn wi yv tf
느티나무	nn xx th ii nn aa mm uu
늘어지게	nn xx rr vv c0 ii k0 ee
덩굴들이	t0 vv ng k0 uu ll t0 xx rr ii
도래솔에	t0 oo rr qq s0 oo rr ee
돋아나기	t0 oo t0 aa nn aa k0 ii
돌래라는	t0 oo ll rr qq rr aa nn xx nf
돌무더기	t0 oo ll mm uu t0 vv k0 ii
돌아가고	t0 oo rr aa k0 aa k0 oo
돌아서며	t0 oo rr aa s0 vv mm yv
돌아섰다	t0 oo rr aa s0 vv tf tt aa
돌아오는	t0 oo rr aa oo nn xx nf
되기까지	t0 wo k0 ii kk aa c0 ii
두렁에는	t0 uu rr vv ng ee nn xx nf
둘레에는	t0 uu ll rr ee ee nn xx nf
들어가는	t0 xx rr vv k0 aa nn xx nf
들어섰다	t0 xx rr vv s0 vv tf tt aa
디딤돌을	t0 ii t0 ii mf t0 oo rr xx ll
떨구었다	tt vv ll k0 uu vv tf tt aa
뜯기기를	tt xx tf kk ii k0 ii rr xx ll
띄엄띄엄	tt xi vv mf tt xi vv mf
라디오도	rr aa t0 ii oo t0 oo
마주쳤다	mm aa c0 uu ch yv tf tt aa
말타기도	mm aa ll th aa k0 ii t0 oo
매끈했다	mm qq kk xx nf h0 qq tf tt aa
먹었었다	mm vv k0 vv ss vv tf tt aa
먹이기가	mm vv k0 ii k0 ii k0 aa
메아리에	mm ee aa rr ii ee
멧새집을	mm ee tf ss qq c0 ii p0 xx ll
모내기가	mm oo nn qq k0 ii k0 aa
모내기도	mm oo nn qq k0 ii t0 oo
모르는지	mm oo rr xx nn xx nf c0 ii
모양이다	mm oo ya ng ii t0 aa
목덜미가	mm oo kf tt vv ll mm ii k0 aa
몸뚱이를	mm oo mf tt uu ng ii rr xx ll
못하기나	mm oo th aa k0 ii nn aa
무논에는	mm uu nn oo nn ee nn xx nf
무덤들이	mm uu t0 vv mf t0 xx rr ii
물러났다	mm uu ll rr vv nn aa tf tt aa
물장난을	mm uu ll cc aa ng nn aa nn xx ll
바라보고	p0 aa rr aa p0 oo k0 oo
바람끝이	p0 aa rr aa mf kk xx ch ii
발돋움을	p0 aa ll t0 oo t0 uu mm xx ll
밤밭골로	p0 aa mf p0 aa tf kk oo ll rr oo
밤밭골은	p0 aa mf p0 aa tf kk oo rr xx nf
버렸는지	p0 vv rr yv nf nn xx nf c0 ii
보드랍고	p0 oo t0 xx rr aa pf kk oo
불놀이를	p0 uu ll rr oo rr ii rr xx ll
불렀는데	p0 uu ll rr vv nf nn xx nf t0 ee
비단조개	p0 ii t0 aa nf c0 oo k0 qq
비치었다	p0 ii ch ii vv tf tt aa
비키기를	p0 ii kh ii k0 ii rr xx ll
뻐꾸기는	pp vv kk uu k0 ii nn xx nf
사잇길로	s0 aa ii tf kk ii ll rr oo
새김질을	s0 qq k0 ii mf c0 ii rr xx ll
새끼라도	s0 qq kk ii rr aa t0 oo
새끼소는	s0 qq kk ii s0 oo nn xx nf
새끼와는	s0 qq kk ii wa nn xx nf
생각됐다	s0 qq ng k0 aa kf tt wq tf tt aa
서울서는	s0 vv uu ll s0 vv nn xx nf
서쪽으로	s0 vv cc oo k0 xx rr oo
속눈썹의	s0 oo ng nn uu nf ss vv p0 xi
손바닥에	s0 oo nf pp aa t0 aa k0 ee
송아지가	s0 oo ng aa c0 ii k0 aa
송아지는	s0 oo ng aa c0 ii nn xx nf
송아지를	s0 oo ng aa c0 ii rr xx ll
수수밭을	s0 uu s0 uu p0 aa th xx ll
시작하고	s0 ii c0 aa kh aa k0 oo
시작하면	s0 ii c0 aa kh aa mm yv nf
시작했다	s0 ii c0 aa kh qq tf tt aa
신명나는	s0 ii nf mm yv ng nn aa nn xx nf
씨름에도	ss ii rr xx mm ee t0 oo
아이들과	aa ii t0 xx ll k0 wa
아이들은	aa ii t0 xx rr xx nf
아이들의	aa ii t0 xx rr xi
아이들이	aa ii t0 xx rr ii
아찔했다	aa cc ii ll h0 qq tf tt aa
안기기만	aa nf k0 ii k0 ii mm aa nf
앞세우고	aa pf ss ee uu k0 oo
약속이나	ya kf ss oo k0 ii nn aa
양지쪽에	ya ng c0 ii cc oo k0 ee
어디선가	vv t0 ii s0 vv nf k0 aa
어미소가	vv mm ii s0 oo k0 aa
어미소는	vv mm ii s0 oo nn xx nf
어미소면	vv mm ii s0 oo mm yv nf
어제처럼	vv c0 ee ch vv rr vv mf
언덕이나	vv nf t0 vv k0 ii nn aa
얼룩얼룩	vv ll rr uu k0 vv ll rr uu kf
얽혔지만	vv ll kh yv tf cc ii mm aa nf
여기에서	yv k0 ii ee s0 vv
여기저기	yv k0 ii c0 vv k0 ii
오솔길이	oo s0 oo ll k0 ii rr ii
온종일을	oo nf c0 oo ng ii rr xx ll
올라와서	oo ll rr aa wa s0 vv
옹기종기	oo ng k0 ii c0 oo ng k0 ii
왕개미를	wa ng k0 qq mm ii rr xx ll
울어대고	uu rr vv t0 qq k0 oo
움직였다	uu mf c0 ii k0 yv tf tt aa
움츠리고	uu mf ch xx rr ii k0 oo
움키었다	uu mf kh ii vv tf tt aa
원두막이	wv nf t0 uu mm aa k0 ii
윗도리를	wi tf tt oo rr ii rr xx ll
유난히도	yu nn aa nf h0 ii t0 oo
이번에는	ii p0 vv nn ee nn xx nf
일어나고	ii rr vv nn aa k0 oo
일어섰다	ii rr vv s0 vv tf tt aa
일이었다	ii rr ii vv tf tt aa
있노라면	ii nf nn oo rr aa mm yv nf
있는지도	ii nf nn xx nf c0 ii t0 oo
있었구나	ii ss vv tf kk uu nn aa
자리잡는	c0 aa rr ii c0 aa mf nn xx nf
잔디밭에	c0 aa nf t0 ii p0 aa th ee
잡아다가	c0 aa p0 aa t0 aa k0 aa
장기판도	c0 aa ng k0 ii ph aa nf t0 oo
재미있는	c0 qq mm ii ii nf nn xx nf
젖먹이를	c0 vv nf mm vv k0 ii rr xx ll
제멋대로	c0 ee mm vv tf tt qq rr oo
조약돌을	c0 oo ya kf tt oo rr xx ll
조약돌이	c0 oo ya kf tt oo rr ii
좋아했고	c0 oo aa h0 qq tf kk oo
좋아했다	c0 oo aa h0 qq tf tt aa
주머니에	c0 uu mm vv nn ii ee
주무르는	c0 uu mm uu rr xx nn xx nf
즐겁기만	c0 xx ll k0 vv pf kk ii mm aa nf
지겹도록	c0 ii k0 yv pf tt oo rr oo kf
지나가는	c0 ii nn aa k0 aa nn xx nf
지났다고	c0 ii nn aa tf tt aa k0 oo
지천으로	c0 ii ch vv nn xx rr oo
진달래가	c0 ii nf t0 aa ll rr qq k0 aa
징검다리	c0 ii ng k0 vv mf t0 aa rr ii
짜릿하게	cc aa rr ii th aa k0 ee
찌른다고	cc ii rr xx nf t0 aa k0 oo
참외밭을	ch aa mm wo p0 aa th xx ll
코피였다	kh oo ph ii yv tf tt aa
팔짝팔짝	ph aa ll cc aa kf ph aa ll cc aa kf
펑퍼짐한	ph vv ng ph vv c0 ii mf h0 aa nf
푸우푸우	ph uu uu ph uu uu
풍성하게	ph uu ng s0 vv ng h0 aa k0 ee
학교에서	h0 aa kf kk yo ee s0 vv
한가운데	h0 aa nf k0 aa uu nf t0 ee
허전함이	h0 vv c0 vv nf h0 aa mm ii
허탕이다	h0 vv th aa ng ii t0 aa
헛디뎠다	h0 vv tf tt ii t0 yv tf tt aa
현기증이	h0 yv nf k0 ii c0 xx ng ii
호락호락	h0 oo rr aa kh oo rr aa kf
휘어잡아	h0 wi vv c0 aa p0 aa
흙바람이	h0 xx kf pp aa rr aa mm ii
흡수지가	h0 xx pf ss uu c0 ii k0 aa
흩어져서	h0 xx th vv c0 yv s0 vv
가시내들은	k0 aa s0 ii nn qq t0 xx rr xx nf
갈밭머리로	k0 aa ll pp aa nf mm vv rr ii rr oo
강기슭으로	k0 aa ng k0 ii s0 xx k0 xx rr oo
개울가에서	k0 qq uu ll k0 aa ee s0 vv
개울둑이나	k0 qq uu ll t0 uu k0 ii nn aa
거둬들이고	k0 vv t0 wv t0 xx rr ii k0 oo
거칠어지고	k0 vv ch ii rr vv c0 ii k0 oo
걸음이었다	k0 vv rr xx mm ii vv tf tt aa
